Equipment Description,Model,Problem,Initial Diagnosis,Work Done
12 channel,CM1200A,issue,V6 signal not showing and keys not responding.,"During inspection, it was found that the ECG lead was not connected properly due to a loose nut. The nut was tightened, and the keyboard was cleaned properly. The unit is now ready to use."
7 Parameters Bedside,C80,issue,Monitor installation incomplete due to missing base plates.,"It was observed that the patient monitor lacked base plates, preventing proper mounting and stabilization. New base plates were installed securely, and the monitor was reassembled and mounted correctly. After installation, the system was tested and confirmed to be functioning smoothly and operating within normal parameters."
Normal,MEDITE M530,issue,The blade was not cutting the tissue uniformly and continuously.,"The blade was loose earlier, but it has been tightened back into place and is now ready to use."
Ultrasonic/Harmonic with Pressure,Force Triad,issue,The foot switch was not functioning.,"The issue was found to be due to the connector part of the foot switch being dislocated from its original position. The connector was repositioned and properly set. After the adjustment, the machine is now fully functional."
Handheld,,issue,Device not charging.,"Upon inspection, it was found that the internal battery connection was disconnected, preventing charging. The connection was resecured properly, restoring internal power continuity. Additionally, the charger head was found to be faulty and requires replacement. After securing the connection, the device was tested and confirmed to be functioning normally."
,MBK OC NO 0886/19,issue,Headlight not functioning.,"Upon inspection, it was found that the headlamp was not illuminating due to loss of electrical continuity in the circuit. After checking and securing all wiring connections properly, continuity was restored, and the headlight is now functioning normally."
General Adult/Pediatric,VG70,issue,Ventilator has an issue with nebulizer.,"Upon inspection, it was an operational issue which has been resolved now. Operational training has been provided to the medical staffs."
Neuro,HS HI-R,issue,An issue with the microscope light.&nbsp;,"The problem was traced to a loose RS-232 connector, which was causing the malfunction.The issue has been resolved and the machine is operating&nbsp;smoothly."
,MI20,issue,Air-in-line alarm.,"During inspection, found that the air-in-line alarm was set. The system was reset, and it is now ready for use."
,Prima 450,issue,Circuit leakage.&nbsp;,"&nbsp;During inspection, leakage was found in the expiratory port. The port was tightened, and the leakage has been resolved. The machine is now ready for use."
Dental,M320,issue,Microscope holder instability.,"The Leica M320 surgical microscope was reported to be non-functional due to instability in the microscope holder, which failed to maintain the desired position during use. Upon inspection, it was found that the locking mechanism was loose. The issue was resolved by tightening the adjustment screw using an LN key. After adjustment, the microscope holder was stable and functioning properly."
,,issue,Flow sensor failure alarm.,Flow sensor calibration has been passed successfully and the machine is working&nbsp;properly.
,HK-400III,ISSUE,Syringe calibration.,"During inspection, found that the pump was not delivering the accurate dose of medicine. Performed calibration, and it is now ready for use."
,R-12A,issue,Leakage issue.,"The issue was in the compressor pipe, but it has been properly fixed. The system is now ready to use."
LED,BL-7000,issue,The analog-to-digital converter (ADC) cable was broken.&nbsp;,"The broken part was identified, and the cable was properly reconnected to its required position. The machine is now fully&nbsp;functional."
5 Parameters Bedside,IT 12,issue,The monitor had not installed properly.,Reinstalled properly and is now&nbsp;ready&nbsp;to&nbsp;use.
,SYS-50,issue,Operational problem&nbsp;,Proper operational training and syringe calibration have been completed. The machine is now ready to use.
,NA,issue,&nbsp;The motor stand was broken.,which was then repaired and the machine is operating&nbsp;smoothly.
12 channel,MK-1212A,issue,The machine was not showing ECG wave.,"During the inspection, it was found that the connector was not properly connected. It has now been connected correctly, and the machine is ready to use."
7 Parameters Transport,Beneview T5,ISSUE,&nbsp;NIBP not monitoring&nbsp;,"During inspection, it was found that water was present inside the NIBP cuff. Due to this, the pressure sensor was unable to detect signals during high-pressure points, resulting in continuous pumping without monitoring the pressure. The sensor was reset and dried properly. Now, the machine is fully&nbsp;functional."
,Prima 450,issue,The oxygen flow meter was not working.,The issue was with it's encoder.The encoder was alinged and fixed properly ensuring the machine is operating smoothly.
