Equipment Description,Manufacturer,Model,Problem ,Work Done 
Laryngoscope,,,Low intensity light ,Battery had low voltage. New battery changed.
Nebulizer,Niscomed,,Broken 3 pin plug. ,3 pin plug was changed
ECG Machine,Philips ,Typewriter ,Ecg showing Acute MI ,Checked the machine settings. And found no issue with machine. Instructions were provided to operator 
Infant Radiant Warmer,Shreeyash ,,Fail temperature signal,Tightened the probe.
HFNC,BMC,,Flow rate was not displaying on the screen,Machines Settings configuration was verified and maintained the flow rate
HFNC,BMC ,,"Values of Fio2, temperature and flow rate wasn't showing in the display.",Settings were configured and maintained default setting reboot the system.
Sphygmomanometer,,,Bp cuff  showing fluctuating pressure.,Leakage at bulb was reported and replace the bulb holder.
Nebulizer,Niscomed ,,3 pin plug was detached ,3 pin plug was adjusted and repaired 
Nebulizer,Niscomed,,Electrical circut was broken ,Circut was made continuous by soldering 
ECG Machine,Nihion Kohden ,CardioFaxC,Printer issue and flat graph,Paper alignment was adjusted.
Laryngoscope,,,Bulb glowing in low intensity ,Light was tightened 
Patient Monitor,Schiller ,Truscope ULTRA Q7,Monitor not showing SpO2 recording,"SpO2 probe was tightened and locked.
"
Syringe Pump,Mindray ,BeneFusionSP3,Syringe pump unable to infuse all medicine. ,Checked settings and calibration performed 
Central Monitoring System,Philips,Efficia CM120,CMS not showing details of inuse monitor ,LAN cabel was connected to switch.
Centrifuge,Remi,,Carbon brush issue was distorted ,New carbon brush was changed 
Centrifuge,Remi,,Centrifuge wasn't speeding enough,Carbon brush alignment was readjusted
Patient Bed,,,"Bed side loose  handel, lost screw",Screw was tightened and made fixed
Pulse Oximeter,,,Oximeter not working properly.,Checked and found out that the  cabel is incompatible. Requested to use compatible cabel.
Vein Finder ,,,Loose light holder,Holder was stick with vega and made firm to glow light.
Mattress Inflator,Niscomed ,,Enough air wasn't dissipated. ,Checked and open the internal parts cleaned it and resolder the broken wire.
Blood Gas Analyzer,Edan,Edan i15,Calibrant wasn't aspirated properly ,Poco pin were cleaned and Calibration fluid pack was changed 
Hydro Extractor,Ramsons ,RDD ,Hydro Extractor was not unabel to start. Start switch was broken.,Checked and new switch was replaced and made working.
Hydro Extractor,Ramsons ,RDD ,Brake was not working. Braking system was failed.,"Plugging Method wire rearrangement, Brake Delay Timer Adjustment, Relay and Start NO switch replacement were performed!"
ECG Machine,Philips ,Type Writer,"Report showing Acute MI,Baseline ECG,Abnormal ECG continues to same patient in different cycle of ECG.",Confirm the reported problem and Settings were managed. 
Sphygmomanometer,,,Pressure gauge meter wasn't aligned in 0. Fluctuating reading.,Pressure gauge needle was aligned to 0.
Infusion Pump,JMS,OT-701,Showing air and drip alaram,"Checked and perform the test run, made working. "
Gauge Cutter,,,Blade sharper wasn't touching the blade and blade wasn't being sharpened.,Position of sharpener was adjusted and made touch with blade.
USG Machine,ACCUVIX,,Abnormal printing of data from printer.,Checked all cabels and readjusted and restart the system. Printer was working fine.
Infusion Pump,Enmind ,EN- V7-Smart,Pump door locking problem. ,Checked and disassemble the pump door and redjusted the locking door.
TENS Machine,,,TENS Machine Probe were broken,Checked and soldered all the possible probe to make it work.
Drill Machine ,Bosch,,Chuck head wasn't working properly. It was not being abel to hold drill bit in correctly ,Chunck head was exchanged from another drill machine whose motor was damaged.
Microscope,Olympus,,Coarse focus dail couldn't set in fix position.,Loose stage of microscope has been adjusted and maintained
Refrigerator,Haier,,Temperature wasn't meeting required value. ,"Checked all the components,cleaned the compressor part. Found compressor and fan was faulty"
Phototherapy,,,Loose Bulb cover of phototherapy ,Nut was fixed and light cover was made tightened 
Patient Monitor,Philips,Efficia CM120,SpO2 probe reading wasn't showing in Patient Monitor ,"Checked the  probe and  found light wasn't glowing up, outer wire was ripped out. Suggested for the wire replacement "
X-Ray Machine,Konica Minolta,Sigma double,Problem in  Xray printer filter ,Full servicing sigma double xray printer 
ECG Machine,Philips ,Pagewriter TC20,Request for the pre op checked ,Pre operational of the ECG machine was checked. Working fine.
Nebulizer,Niscomed ,,Disconnected wire machine not working ,Reconnected the wire and made working 
Suction Machine,Sereixn,,Low suction intensity ,General Maintenance of motor was done. Pipe placement and settings adjusted.
Nebulizer,Niscomed ,,Nebulizer wire connection broken,Broken wire was readjusted 
Blood Roller Mixer ,Coslub,,Unsynchronized tube rollers rotation.,Adjustment in the tube roller gear.
Stethoscope ,Microlife,,One Earpiece missing ,Earpiece was installed 
Blood Bank Refrigerator,Remi,BR-120 ultra,Door lock issue of Refrigerator at Blood Bank.,Lock was repaired and solved lock problem
Syringe Pump,Smiths Medical,Graseby C9,Transmission Error,Checked the plunger holder of syringe.  Factory reset was performed. Manual calibration was done. And test run was performed.
Patient Monitor,Philips,Efficia CM120,Loose Wall mount and bedside monitor was loosen ,Screw was tightened and position was adjusted.
ECG Machine,Philips ,Page writer ,ECG graph printed with full detail and reasons.,Seeting instructions was provided to the user and provided guidance to the user.
Infusion Pump,Enmind ,EN V7 smart ,Door lock problem ,Door portion was opened and Readjusted 
Nebulizer,Niscomed ,,Nebulizer not working. No power in Nebulizer ,Nebulizer was dissambled and found out transformer winding was burnt.
Defibrillator,Philips ,,Shock was not delivered to patient.,Defibrillator pad was reconnected properly and  checked
Infusion Pump,Smiths Medical ,,Frequent alarm of air bubble and occlusion,Seetings was readjusted and Calibration was performed 
Blood Gas Analyzer,Edan,,Printing issue.Thermal head roller misplacement,  Roller was readjusted and performed printing.
Blood Gas Analyzer,Edan,,Continue Notification even after cartridge is removed.,Machine was restarted.
Infusion Pump,Mindray ,,Stand holder broken.,New stand holder nut was fixed. Crack near holder were sticked.
Patient Bed,,,Patient bed side frame loose. Nut lost,New nut was adjusted to it and made it tightened.
Syringe Pump,Enmind ,,Issue of short circuit ,Device was checked and performed genral maintenance.
Gauge Cutter,,,Requested to change the blade,Blade was changed and performed maintenance 
Sphygmomanometer,,,The mamometer needle wasn't stationary ,Inspected and found the BP Cuff bag had leakage 
Patient Monitor,Philips,Efficia CM120,Monitor wasn't charging properly. ,Inspected and identified that the charge cabel wasn't plugged properly at monitor end.
ECG Machine,ECGMAC,EM 301,Reported that ECG wasn't Printing properly.,Inspected and  checked all the cabels and made pre operation checked. Printing fine.
Patient Monitor,Philips,Efficia CM120,Spo2 probe wasn't not recording fine. Showing less sp02 value than normal.,Inspected and cross verified the probe. Spo2 probe was reading fine.
Nebulizer,Niscomed ,, Nebulizer 3 pin plug was broken,New 3 pin plug was replaced 
Chest Vibrator,Thrive ,,3 pin plug broken. Vibration sound was unusual than normal.,3 pin plug was changed. Vibrator handel were made tightened with tape.
TENS Machine,,,TENS wire were broken,Wire were resoldered and managed to be work.
ECG Machine,Mindray ,Beneheart R12,Paper type error.,Inspected and crossed verified the paper. Found out incompatible paper was in use. Mindrya compatible paper was used and printing fine without error.
Endoscope ,Olympus,,Air flow and suction not functioning,Cleaned the tubing
Endoscope ,Olympus,,Suction not functioning ,Cleaned the tubings
Laryngoscope,,,Light not glowing,Cleaned the contacts and changed bulbs
Laryngoscope,,,Bulb not glowing,Cleaned contacts and changed bulbs 
Nebulizer,Niscomed,,Brunt 3 pin plug ,3 pin plug was changed.
Nebulizer,,CWAN,Fuse was blown.,Inspected and new fuse was replaced 
Pulse Oximeter,,,Battery drained out.,New battery was replaced.
Chest Vibrator,Thrive,,Connection was broken.,Wire were readjusted and made stabel connection.
Chest Vibrator,Thrive,,Soldered were worn out.,Resoldered the wire.
Patient Monitor,Philips,Intellivue MP20,"Patient Monitor unable to read blood pressure.
",BP cuff replaced.
Centrifuge,Remi,R-303,Centrifuge not spinning properly.,Carbon was made good cotact.
BIPAP,Philips,Respironics,Unresponsive control ,Inspected and found SD card error
BIPAP,Philips,Respironic,Unresponsive Controls,Inspected and found SD card error
Patient Bed,Timotion,,Wheels not working.,Wheels were replaced from not working bed
View Box,,,Faulty Switch.,Connection were reset to working Switch.
View Box,,,Broken 3 pin plug.,3 pin plug was changed.
Blood Gas Analyzer,Edan,i15,Calibrant wasn't aspirated properly.,Calibrant fluid pack pin and poco pin cleaned.
Tissue Processor,,KEDDEE, Requested to change lifting belt and  colling fan,Perform General maintenance  removed all dust particles and changed lifting belt.
Refrigerator,Haier,,Unusual sound  from fan,Genral maintenance performed
Delivery Bed,,,Bed Uplifting piston holder broken,Broken portion was adjusted with Nut for temporary use.
Patient Bed,Ti Motion ,,Remote not responding ,Connection in  power moudel was reset.
Patient Bed,Ti Motion ,,Remote not responding.,"Inspected and found that the system was locked. 
System was unlocked."
Anesthesia workstation,Meditech England ,,Abnormal shrinking of bellow,"Assessment done and found Bellow while still flexible, may have lost elasticity, impacting contraction/expansion efficiency during ventilation. Excessive flexibility can compromise the seal, causing air leakage and reduced tidal volume. "
Nebulizer,Niscomed,,3 pin plug broken,New 3 pin plug was changed
Ventilator,Hamilton,C3,Back up for ICU,Perop were checked and made stand by
Laryngoscope,,,Pediatric Laryngascope one bulb not glowing.,Inspected and found the used bulb size  was incompatible. Suggested to get compatible bulb.
Patient Monitor,Philips ,Efficia CM120,SpO2 probe not responding,Inspected and found out the Spo2 probe was broken.
Ventilator,Hamilton,Hamilton-C1,Ventilator O2 cell calibration fail,Inspected and VT Analayzer was use to Calibrate the oxygen flow.
Ventilator,Hamilton,Hamilton-C1,O2 cell calibration failed.,Inspected and VT Analayzer was use to Calibrate the oxygen flow.
Ventilator,Hamilton,Hamilton-C1,O2 cell calibration Failed.,Inspected and VT Analayzer was used to Calibrate the oxygen flow.
Ventilator,Hamilton,Hamilton-C1,O2 cell calibration failed.,Inspected and VT Analayzer was use to Calibrate the oxygen flow.
Colposcope,Lutech,LT-300SD,Image wasn't showing in the Monitor,"Inspected and device were crossed verified with HDMI and 3.0USB cabel.
New software was downloaded and tried.
"
OT Light,,,Light board wasn't responding. ,"Inspected and cross checked the voltage drop in each point. Issue with board components was concluded.
Board was hand over to company. "
ECG Machine,Nihion Kohden,Cardio fax C,Unable to print ECG graph,Inspected and found that leads are working fine but Machine was out of paper
ECG Machine,Philips,Page writer TC20,Unable to print the ECG graph,Cleaned the thermal head and roller with spirit. Readjusted the paper properly.
Nebulizer,Niscomed,,Fume wasn't generated from Mask.,"Inspected,crosseverified and cleaned the moter and piston area. 
Filter was cleaned too."
ECG Machine,ECGMAC,EM 301,Continuous printing of ECG graph. ,Inspected crossed verified and system settings were adjusted to default.
USG Machine,Mindray,Z6,"Machine unable to read the Curvilinear probe.
Artifacts(black line) was seen in Linear probe.","Inspected crossed verified talk with vendor and concluded as
Linear probe internal  crystal was broken.
Curvilinear probe locking system was damaged"
Central Monitoring System,Philips,Efficia CM120,Continuous  yellow Alarm with the CMS License Key Board.,"Inspected and checked battery voltage.
Requested to replace the Battery"
Blood Gas Analyzer,Edan,Edani15,Cartridge not aspirated properly,Fluid pack was installed properly after maintaining room temperature
Drying Machine,Ramsons,,Bealt  was worn-out ,New bealt was replaced 
Syringe Pump,Smiths Medical,Graseby C9,Continuous beep sound ,"Dispaly cabel was reconnected 
Calibration performed and seeting adjusted."
Ventilator,Philips,V200,Showing more Tidal volume  than set tidal volume ,"Inspected crossed verified, cleaned the  filters and reconnected cabels"
Sphygmomanometer,,,No deflection in needle,Inspected and found leakage in BP cuff. Suggested to change.
View Box,,,In compatible adapter,Requested to get  compatible adapter and changed.
Laparoscopic Tower,,,No camera holder in the tower.,Camera holder was installed using plaster design
Syringe Pump,Smiths Medical,Graseby C9,Power on issue. ,"Inspected display cabel was readjusted.
1st calibration was performed "
Patient Bed,,,Remote wasn't responding ,Connection in power box restored and checked.
Nebulizer,Niscomed,,Nebulizer unresponsive ,Cabel connection was readjusted
Centrifuge,Remi,,Disoriented spinning of Centrifuge ,Inspected and Nobe was tightened. Screw on the button was readjusted 
Centrifuge,Remi,,Slow speed rotation of centrifuge,Inspected and carbon placement was readjusted
ECG Machine,ECGMAC,EM 301,"Unable to ECG waves
 ","Inspected and identified Suction electrode probe tightened nut was lost.
Replaced with other nut"
CTG,Orean,,Machine unable to print.,Factory setting was performed and system setup 
Sphygmomanometer,,,Manometer wasn't needle wasn't aligned at 0,Needle was readjusted to its orginal position
Sphygmomanometer,,,Unable to pump by Inflation bulb,Inspected and found Inflation bulb had leakage. Leakage was mitigate by general maintenance 
Infusion pump,Smiths Medical ,Graseby TM1200,Air in line notification. Unabel to infuse,Inspected and Bolus was performed.
Sphygmomanometer,,,General Maintenance was performed,
